PRODUCT_NAME,PRICING,URL,BRAND,SCREEN_SIZE,DISPLAY_TYPE,RESOLUTION,OS
"LG - 50"" Class UQ75 Series LED 4K UHD Smart webOS TV",$349.99,https://www.bestbuy.com/site/lg-50-class-uq75-series-led-4k-uhd-smart-webos-tv/6501940.p?skuId=6501940,LG,50,LED,4K UHD,webOS
"Samsung - 85"" Class QN90B Neo QLED 4K Smart Tizen TV","$2,599.99",https://www.bestbuy.com/site/samsung-85-class-qn90b-neo-qled-4k-smart-tizen-tv/6500631.p?skuId=6500631,SAMSUNG,85,Neo,4K Smart,Tizen
"Sony - 55"" Class BRAVIA XR X90K 4K HDR Full Array LED Google TV",$899.99,https://www.bestbuy.com/site/sony-55-class-bravia-xr-x90k-4k-hdr-full-array-led-google-tv/6499804.p?skuId=6499804,SONY,55,XR,4K HDR,Google
"Insignia™ - 32"" Class F20 Series LED Full HD Smart Fire TV",$139.99,https://www.bestbuy.com/site/insignia-32-class-f20-series-led-full-hd-smart-fire-tv/6495086.p?skuId=6495086,INSIGNIA™,32,LED,Full HD,Fire
"LG - 42"" Class C2 Series OLED evo 4K  UHD Smart webOS TV",$899.99,https://www.bestbuy.com/site/lg-42-class-c2-series-oled-evo-4k-uhd-smart-webos-tv/6501500.p?skuId=6501500,LG,42,OLED,evo 4K,webOS
"Sony - 55"" Class BRAVIA XR A80K 4K HDR OLED Google TV","$1,399.99",https://www.bestbuy.com/site/sony-55-class-bravia-xr-a80k-4k-hdr-oled-google-tv/6502610.p?skuId=6502610,SONY,55,XR,4K HDR,Google
"LG - 75"" Class UQ75 Series LED 4K UHD Smart webOS TV",$729.99,https://www.bestbuy.com/site/lg-75-class-uq75-series-led-4k-uhd-smart-webos-tv/6501934.p?skuId=6501934,LG,75,LED,4K UHD,webOS
"Samsung - 65"" Class QN90B Neo QLED 4K Smart Tizen TV","$1,599.99",https://www.bestbuy.com/site/samsung-65-class-qn90b-neo-qled-4k-smart-tizen-tv/6500634.p?skuId=6500634,SAMSUNG,65,Neo,4K Smart,Tizen
"Insignia™ - 75"" Class F30 Series LED 4K UHD Smart Fire TV",$529.99,https://www.bestbuy.com/site/insignia-75-class-f30-series-led-4k-uhd-smart-fire-tv/6480926.p?skuId=6480926,INSIGNIA™,75,LED,4K UHD,Fire
"TCL - 58"" Class 4-Series 4K UHD HDR Smart Roku TV",$299.99,https://www.bestbuy.com/site/tcl-58-class-4-series-4k-uhd-hdr-smart-roku-tv/6500474.p?skuId=6500474,TCL,58,QLED,4K UHD,Class
"Samsung - 65"" Class S90C OLED Smart Tizen TV","$2,199.99",https://www.bestbuy.com/site/samsung-65-class-s90c-oled-smart-tizen-tv/6536964.p?skuId=6536964,SAMSUNG,65,OLED,Tizen TV,Tizen
"Samsung - 43"" Class Q60C QLED 4K Smart Tizen TV",$529.99,https://www.bestbuy.com/site/samsung-43-class-q60c-qled-4k-smart-tizen-tv/6537420.p?skuId=6537420,SAMSUNG,43,QLED,Smart Tizen,Tizen
"Sony - 55"" Class X75K 4K HDR LED Google TV",$499.99,https://www.bestbuy.com/site/sony-55-class-x75k-4k-hdr-led-google-tv/6505137.p?skuId=6505137,SONY,55,4K,LED Google,Google
